X,Y,OBJECTID,Name,Type,Station_ID,Address,City,State,Zip,Municipality,County,Web_URL
2703495.73761164,296577.157097474,1,Abington Fire Co.,Fire,100,1920 Horace Ave,Abington,PA,19001,Abington,Montgomery,http://www.abingtonfire.net/
2668011.53889513,283644.275811061,2,Barren Hill Fire Co.,Fire,29,647 Germantown Pike,Lafayette Hill,PA,19444,Whitemarsh,Montgomery,http://www.barrenhill.com/
2671921.05371389,261877.467638731,3,Belmont Hills Fire Co.,Fire,22,4 S Washington Ave,Bala Cynwyd,PA,19004,Lower Merion,Montgomery,http://belmonthillsfireco.com/
2595914.72738038,300554.590415567,4,Black Rock Volunteer Fire Co - Mont Clare,Fire,99B,216 Bridge St,Mont Clare,PA,19453,Upper Providence,Montgomery,http://brvfc.org/
2607800.29251997,301931.262202889,5,Black Rock Volunteer Fire Co - Oaks,Fire,99A,260 Green Tree Rd,Phoenixville,PA,19460,Upper Providence,Montgomery,http://brvfc.org/
2641331.80944631,290406.747522309,6,Bridgeport Fire Co.,Fire,31,72 W 4Th St,Bridgeport,PA,19405,Bridgeport,Montgomery,http://www.freewebs.com/bridgeportfireco/
2720822.04351014,301822.95533289,7,Bryn Athyn Fire Co.,Fire,11,2815 Buck Rd,Athyn,PA,19009,Bryn Athyn,Montgomery,http://www.bafc.net/
2648751.07577573,260584.320946813,8,Bryn Mawr Fire Co.,Fire,23,901 W Lancaster Ave,Bryn Mawr,PA,19010,Lower Merion,Montgomery,http://www.brynmawrfirecompany.org/
2656392.13792139,312694.716397733,9,Centre Square Fire Co. Main Station,Fire,33,1298 Skippack Pike,Blue Bell,PA,19422,Whitpain,Montgomery,http://www.csfc33.com/
2712192.80486314,276263.66425997,10,Cheltenham Fire Co.,Fire,4,413 Ryers Ave,Cheltenham,PA,19012,Cheltenham,Montgomery,http://www.cheltenhamfirecompany.org/
2609436.84239647,320808.248727053,11,Collegeville Fire Co.,Fire,34,29 E 5Th Ave,Collegeville,PA,19426,Collegeville,Montgomery,http://www.collegevillefire.org/
2664104.91153781,350414.438202232,12,Colmar Fire Co.,Fire,12,2700 Walnut St,Colmar,PA,18915,Hatfield Twp,Montgomery,http://www.colmarfire.com/
2654127.0653518,281504.583568141,13,Conshohocken Fire Co. #2,Fire,35,819 Fayette St,Conshohocken,PA,19428,Conshohocken,Montgomery,http://conshohockenfire.com/index.html
2594562.44366764,399660.414841309,14,East Greenville Fire Co.,Fire,38,401 Washington St,East Greenville,PA,18041,East Greenville,Montgomery,http://www.egfd38.com/news/index/layoutfile/home
2691409.78868647,294196.001098648,15,Edge Hill Fire Co.,Fire,400,2843 Limekiln Pike,Glenside,PA,19038,Abington,Montgomery,http://edgehillfirecompany.com/
2702562.14695914,278983.757573053,16,Elkins Park Fire Co.,Fire,3,7818 Montgomery Ave,Elkins Park,PA,19027,Cheltenham,Montgomery,http://www.elkinsparkfire.com/
2707447.2303648,317420.42413789,17,Enterprise Fire Co.,Fire,95,36 Byberry Ave,Hatboro,PA,19040,Hatboro,Montgomery,http://www.efc95.com/news/index/layoutfile/home
2655803.49867871,340447.401049733,18,Fairmount Fire Co.,Fire,14,100 Vine St,Lansdale,PA,19446,Lansdale,Montgomery,http://www.fairmountfireco.com/
2670605.35391746,334705.19698298,19,Montgomery Township Main Station,Fire,18A,325 Stump Rd,North Wales,PA,19454,Montgomery,Montgomery,http://www.fdmt.org/
2669581.72177839,344792.260142148,20,Montgomery Township Sub-Station,Fire,18B,441 Doylestown Pike,Montgomeryville,PA,18936,Montgomery,Montgomery,http://www.fdmt.org/
2678081.13227297,291569.434829474,21,Flourtown Fire Co.,Fire,6,1526 Bethlehem Pike,Flourtown,PA,19031,Springfield,Montgomery,http://www.flourtownfire.org/
2682502.58504422,308944.464055732,22,Fort Washington Fire Co. Main Station,Fire,88A,1245 Fort Washington Ave,Fort Washington,PA,19034,Upper Dublin,Montgomery,http://www.fortwashingtonfc.org/
2692600.86077939,303475.404455811,23,Fort Washington Fire Co. Sub-Station,Fire,88B,3315 Susquehanna Rd,Dresher,PA,19025,Upper Dublin,Montgomery,http://www.fortwashingtonfc.org/
2649585.4464823,277246.842739806,24,George Clay Fire Co.,Fire,39,426 Ford St,Conshohocken,PA,19428,West Conshohocken,Montgomery,http://www.geoclay.com/
2565448.05176531,365964.194176137,25,Gilbertsville Fire Co.,Fire,67,1456 E Philadelphia Ave,Gilbertsville,PA,19525,Douglass,Montgomery,http://www.gfc-no1.com/
2659925.63872838,267008.261510983,26,Gladwyne Fire Co.,Fire,24,1044 Black Rock Rd,Gladwyne,PA,19035,Lower Merion,Montgomery,http://www.gladwynefire.org/
2693941.51689072,290560.036585808,27,Glenside Fire Co.,Fire,1,210 W Glenside Ave,Glenside,PA,19038,Cheltenham,Montgomery,http://www.glensidefire.com/
2643409.64584181,290172.982897982,28,Goodwill Fire Co.,Fire,32,304 Bush St,Bridgeport,PA,19405,Bridgeport,Montgomery,http://www.freewebs.com/station32/
2604465.4304233,374093.984018892,29,Green Lane Fire Co.,Fire,42,214 Main St,Green Lane,PA,18054,Green Lane,Montgomery,http://greenlanefirerescue.org/
2629634.35777564,352839.141029984,30,Harleysville Fire Co.,Fire,89,274 Kulp Rd,Harleysville,PA,19438,Lower Salford,Montgomery,http://harleysvillefire.org/index.php
2658838.64976063,288926.035588726,31,Harmonville Fire Co. Main Station,Fire,44A,2100 Butler Pike,Plymouth Meeting,PA,19462,Plymouth,Montgomery,http://www.hfc44.com/
2654425.83575164,298808.925599813,32,Harmonville Fire Co. Sub-Station,Fire,44B,904 Germantown Pike,Plymouth Meeting,PA,19462,Plymouth,Montgomery,http://www.hfc44.com/
2652673.17587113,355847.89846389,33,Hatfield Fire Co. Main Station,Fire,17A,75 N Market St,Hatfield,PA,19440,Hatfield Boro,Montgomery,http://www.hatfieldfire.com/
2646429.80581197,350942.94797197,34,Hatfield Fire Co. Sub-Station,Fire,17B,380 Fairgrounds Rd,Hatfield,PA,19440,Hatfield Twp,Montgomery,http://www.hatfieldfire.com/
2700327.86894739,320468.654261887,35,Horsham Fire Co. Main Station,Fire,15A,315 Meetinghouse Rd,Horsham,PA,19044,Horsham,Montgomery,http://horshamfire15.com/
2686798.97999471,328612.077607557,36,Horsham Fire Co. Sub-Station,Fire,15B,1015 Horsham Rd,Horsham,PA,19044,Horsham,Montgomery,http://horshamfire15.com/
2720129.7325588,299585.189139143,37,Huntingdon Valley Fire Co.,Fire,8,636 Red Lion Rd,Huntingdon Valley,PA,19006,Lower Moreland,Montgomery,https://www.facebook.com/hvfc8
2702012.34130022,288517.976365477,38,Independent Fire Co.,Fire,16,609 Greenwood Ave,Jenkintown,PA,19046,Jenkintown,Montgomery,http://www.jenkintownboro.com/?page_id=85
2629671.03257105,299629.566346973,39,Jefferson Fire Co.,Fire,46,85 School Ln,Eagleville,PA,19403,West Norriton,Montgomery,http://jeffersonfireco.com/
2630695.6909548,284864.89115198,40,King Of Prussia Fire Co. Main Station,Fire,47A,170 Allendale Rd,King of Prussia,PA,19406,Upper Merion,Montgomery,http://www.kpvfc.com/
2630073.99633205,292768.815304726,41,King Of Prussia Fire Co. Sub-Station,Fire,47B,300 W Beidler Rd,King of Prussia,PA,19406,Upper Merion,Montgomery,http://www.kpvfc.com/
2697488.89299805,279074.473927066,42,Lamott Fire Co.,Fire,2,7600 Penrose Ave,Elkins Park,PA,19027,Cheltenham,Montgomery,http://ctfdengine2.tripod.com/id3.html
2590239.8604493,335161.656371892,43,Limerick Fire Co.,Fire,51A,390 W Ridge Pike,Limerick,PA,19468,Limerick,Montgomery,http://www.limerickfirerescue.org/
2579050.04654288,327749.6259204,44,Linfield Fire Co.,Fire,51B,1077 Main St,Linfield,PA,19468,Limerick,Montgomery,http://harleysvillefire.org/p-48-Montgomery-County-Fire-Company-List
2607720.76282339,350718.766333729,45,Lower Frederick Fire Co.,Fire,52,137 Spring Mount Rd,Schwenksville,PA,19473,Lower Frederick,Montgomery,http://harleysvillefire.org/p-48-Montgomery-County-Fire-Company-List
2624302.01181306,308893.835219979,46,Lower Providence Fire Co. Main Station,Fire,53A,3151 Ridge Pike,Eagleville,PA,19403,Lower Providence,Montgomery,http://lpfire.com/
2616537.31605639,297664.211681888,47,Lower Providence Fire Co. Sub-Station,Fire,53B,24 Lark Ln,Audobon,PA,19403,Lower Providence,Montgomery,http://lpfire.com/
2706226.23904039,284271.182365641,48,Mckinley Fire Co.,Fire,200,893 Jenkintown Rd,Elkins Park,PA,19027,Abington,Montgomery,http://mckinleyfire.org/
2655733.3101708,255542.041333228,49,Merion Of Ardmore Fire Co.,Fire,25,35 Greenfield Ave,Ardmore,PA,19003,Lower Merion,Montgomery,http://www.merionfireco.org/
2664690.42939563,254441.340778723,50,Narberth Fire Co.,Fire,26,100 Conway Ave,Narberth,PA,19072,Narberth,Montgomery,http://www.narberthfirecompany.com/news/index/layoutfile/home
2574480.50023581,356301.459564641,51,New Hanover Fire Co.,Fire,37A,2154 Swamp Pike,Gilbertsville,PA,19525,New Hanover,Montgomery,http://www.newhanoverfire.org/NHTFC/Home.html
2639536.11487497,294832.619247973,52,Norristown Fire Dept. - Fairmount Engine Co #2,Fire,27D,401 W Main St,Norristown,PA,19401,Norristown,Montgomery,http://norristownfire.org/
2638349.51324555,295645.630417228,53,Norristown Fire Dept. - Hancock Fire Co.,Fire,27E,820 W Airy St,Norristown,PA,19401,Norristown,Montgomery,http://norristownfire.org/
2643602.11363272,298505.65947406,54,Norristown Fire Dept. - Montgomery Hose Fire Co.,Fire,27B,201 W Freedley St,Norristown,PA,19401,Norristown,Montgomery,http://norristownfire.org/
2642321.1224283,294822.584491149,55,Norristown Fire Dept. - Norristown Hose Co.,Fire,27A,627 Dekalb St,Norristown,PA,19401,Norristown,Montgomery,http://norristownfire.org/
2647918.7706818,304683.063785896,56,Norriton Fire Engine Co. Main Station,Fire,61A,2830 Swede Rd,Norristown,PA,19401,East Norriton,Montgomery,http://nfec61.org/
2639801.13140531,307213.292649314,57,Norriton Fire Engine Co. Sub-Station,Fire,61B,656 W Germantown Pike,Norristown,PA,19403,East Norriton,Montgomery,http://nfec61.org/
2659244.49868648,329229.659705728,58,North Penn Fire Co. Main Station,Fire,62A,141 S Main St,North Wales,PA,19454,North Wales,Montgomery,http://northpennfire.com/
2665600.73794247,326868.731028646,59,North Penn Fire Co. Sub-Station,Fire,62B,1120 Meetinghouse Rd, ,PA, ,Lower Gwynedd,Montgomery,http://northpennfire.com/
2702401.82969446,282957.344770223,60,Ogontz Fire Co.,Fire,5,8215 Old York Rd,Elkins Park,PA,19027,Cheltenham,Montgomery,https://www.facebook.com/OgontzFireCompany/
2685630.43311922,296067.048537642,61,Oreland Fire Co.,Fire,700,1500 Bruce Rd,Oreland,PA,19075,Springfield,Montgomery,http://www.orlandfire.org/
2661641.31574322,246729.682317555,62,Penn Wynne Fire Co.,Fire,21,1442 Manoa Rd,Wynnewood,PA,19096,Lower Merion,Montgomery,http://www.pennwynnefire.org/
2596400.76905923,395588.58374615,63,Pennsburg Fire Co.,Fire,65,501 Penn St,Pennsburg,PA,18073,Pennsburg,Montgomery,http://www.pennsburgfireco.com/news/index/layoutfile/home
2609667.44692214,330383.685612887,64,Perkiomen Township Fire Co.,Fire,66,485 Gravel Pike,Collegeville,PA,19426,Perkiomen,Montgomery,http://perkiomenfirecompany.com/
2702307.88106348,288371.174821809,65,Pioneer Fire Co.,Fire,96,700 Greenwood Ave,Jenkintown,PA,19046,Jenkintown,Montgomery,http://www.pioneerfireco.com/
2653247.73213673,285043.148669481,66,Plymouth Fire Co.,Fire,43,1321 Colwell Ln,Conshohocken,PA,19428,Plymouth,Montgomery,http://www.plymouthfireco.com/
2556418.56490305,339762.551041484,67,Pottstown Fire Dept. - Empire Hook & Ladder,Fire,69C,76 N Franklin St,Pottstown,PA,19464,Pottstown,Montgomery,http://www.pottstown.org/index.aspx?nid=131
2558173.41834871,338670.128685638,68,Pottstown Fire Dept. - Goodwill Fire Co.,Fire,69A,714 High St,Pottstown,PA,19464,Pottstown,Montgomery,http://www.goodwillpottstown.org/main/home.asp
2559219.02813414,344316.782746643,69,Pottstown Fire Dept. - North End Fire Co.,Fire,69D,301 Prospect St,Pottstown,PA,19464,Pottstown,Montgomery,http://www.pottstown.org/index.aspx?nid=131
2555070.31005363,339931.027410567,70,Pottstown Fire Dept. - Phillies Fire Co.,Fire,69B,240 Chestnut St,Pottstown,PA,19464,Pottstown,Montgomery,http://www.pottstown.org/index.aspx?nid=131
2600967.02534664,388086.40977414,71,Red Hill Fire Co.,Fire,71,71 E 4Th St,Red Hill,PA,18076,Red Hill,Montgomery,http://redhillfireco.com/
2566053.79924147,348362.227411643,72,Ringing Hill Fire Co.,Fire,59,815 White Pine Ln,Pottstown,PA,19464,Lower Pottsgrove,Montgomery,http://www.ringinghillfireco.org/index.asp
2712507.86558472,284052.760558397,73,Rockledge Fire Co.,Fire,9,505 Huntingdon Pike,Rockledge,PA,19046,Rockledge,Montgomery,http://www.rockledgefire.org/
2699711.82982513,298663.45213747,74,Rosyln Fire Co.,Fire,500,1128 Bradfield Rd,Abington,PA,19001,Abington,Montgomery,http://www.roslynfireco.com/
2586919.93565872,316006.640876234,75,Royersford Fire Dept. - Friendship Fire Co,Fire,98B,269 Green St,Royersford,PA,19468,Royersford,Montgomery,http://rfd98.org/
2585985.71803898,317369.728701234,76,Royersford Fire Dept. - Humane Fire Co,Fire,98A,301 Walnut St,Royersford,PA,19468,Royersford,Montgomery,http://rfd98.org/
2569281.38333747,339316.118535399,77,Sanatoga Fire Co.,Fire,58,2222 E High St,Pottstown,PA,19464,Lower Pottsgrove,Montgomery,http://www.sanatogafireco.org/index.htm
2582301.38780922,373655.584633231,78,New Hanover Fire Co. Sub-Station,Fire,37B,513 Schultz Rd,Perkiomenville,PA,18074,New Hanover,Montgomery,http://newhanoverfirerescue.org/
2622264.58642598,333579.613604233,79,Skippack Fire Co.,Fire,86,1230 Bridge Rd,Schwenksville,PA,19473,Skippack,Montgomery,http://skippackfire.com/
2644645.82184714,366819.710181639,80,Souderton Fire Co.,Fire,74,260 N 2Nd St,Souderton,PA,18964,Souderton,Montgomery,http://www.soudertonfireco.org/
2658036.85641672,280737.733723894,81,Spring Mill Fire Co.,Fire,45,1210 E Hector St,Conshohocken,PA,19428,Whitemarsh,Montgomery,http://www.springmillfire.com/
2645510.00975131,283859.624133646,82,Swedeland Fire Co.,Fire,48,609 A St,King of Prussia,PA,19406,Upper Merion,Montgomery,http://www.swedelandfire.org/news/index/layoutfile/home
2644557.57300788,289166.891406223,83,Swedesburg Fire Co.,Fire,49,310 Jefferson St,Bridgeport,PA,19405,Upper Merion,Montgomery,http://www.swedesburgfire.com/
2641326.94233005,369434.650161728,84,Telford Fire Co.,Fire,75,400 W Broad St,Telford,PA,18969,Telford,Montgomery,http://www.telfordfireco.com/
2640087.14330047,340346.624020308,85,Towamencin Fire Co. Main Station,Fire,76A,1590 Bustard Rd,Harleysville,PA,19438,Towamencin,Montgomery,http://www.towamencinfire.com/
2647207.33673722,339874.239138305,86,Towamencin Fire Co. Sub-Station,Fire,76B,1260 Snyder Rd,Lansdale,PA,19446,Towamencin,Montgomery,http://www.towamencinfire.com/
2603314.05706988,323151.66005072,87,Trappe Fire Co.,Fire,77,20 W 5Th Ave,Trappe,PA,19426,Trappe,Montgomery,http://www.trappefire.org/
2628130.66163605,379275.494325146,88,Tylersport Fire Co.,Fire,72,125 Ridge Rd,Tylersport,PA,18971,Salford,Montgomery,http://www.tylersportfireco.com/
2671290.97623388,254906.118064389,89,Union Fire Association Of Cynwyd,Fire,28,149 Montgomery Ave,Bala Cynwyd,PA,19004,Lower Merion,Montgomery,http://www.station28.org/
2591286.13329114,364020.830608815,90,Upper Frederick Fire Co.,Fire,87,2837 Little Rd,Perkiomenville,PA,18074,Upper Frederick,Montgomery,https://www.facebook.com/pages/Upper-Frederick-Firehouse/368335023241098
2652103.56677414,328057.899253979,91,Upper Gwynedd Fire Co.,Fire,80,660 Garfield Ave,West Point,PA,19486,Upper Gwynedd,Montgomery,http://ugfd.org/
2556437.03074539,351746.715721399,92,Upper Pottsgrove Fire Co.,Fire,79,1409 Farmington Ave,Pottstown,PA,19464,Upper Pottsgrove,Montgomery,http://upperpottsgrovefire.org/
2600897.77843788,310291.31930165,93,Upper Providence Twp Fire Rescue,Fire,93,1286 Black Rock Rd,Phoenixville,PA,19460,Upper Providence,Montgomery,http://www.uprov-montco.org/fire-and-emergency-services.php
2615474.24173898,358131.52709873,94,Upper Salford Fire Co.,Fire,78,782 Old Skippack Rd,Salfordville,PA,18958,Upper Salford,Montgomery,http://uppersalfordfire.org/
2651962.67401131,279050.919184148,95,Washington Fire Co.,Fire,36,36 W Elm St,Conshohocken,PA,19428,Conshohocken,Montgomery,http://www.washies1.org/
2696471.24673939,292813.173811808,96,Weldon Fire Co.,Fire,300,412 Easton Rd,Glenside,PA,19038,Abington,Montgomery,http://weldonfireco.com/
2546854.12963563,340984.863885567,97,West End Fire Co.,Fire,57,112 Rice St,Stowe,PA,19464,West Pottsgrove,Montgomery,http://www.westendfireco.com/news/index/layoutfile/home
2705675.24834447,306470.636654317,98,Willow Grove Fire Co. Main Station,Fire,10A,227 Davisville Rd,Willow Grove,PA,19090,Upper Moreland,Montgomery,http://tiller10.com/
2716162.58006005,316494.814440563,99,Willow Grove Fire Co. Sub-Station,Fire,10B,4355 Davisville Rd,Hatboro,PA,19040,Upper Moreland,Montgomery,http://tiller10.com/
2675921.51716964,310317.311703727,100,Wissahickon Fire Co. Main Station,Fire,7A,245 E Race St,Ambler,PA,19002,Ambler,Montgomery,http://www.station7.org/
2673679.14468589,321519.553078726,101,Wissahickon Fire Co. Sub-Station,Fire,7B,1130 N Bethlehem Pike,Springhouse,PA,19477,Lower Gwynedd,Montgomery,http://www.station7.org/
2638706.08208622,323119.231309816,102,Worcester Fire Co.,Fire,83,1725 Valley Forge Rd,Worcester,PA,19490,Worcester,Montgomery,http://www.worcesterfd.com/
2685471.82451256,283984.151443645,103,Wynmoor Hose Co.,Fire,82,1101 Willow Grove Ave,Wyndmoor,PA,19038,Springfield,Montgomery,http://www.wyndmoorfireco.com/
